reviewText|sentimentScore
Well, I finally saw it. I didn't go when it first came out because, well, frankly, I was afraid. Afraid of how bad it might be, or how disappointing. While not as bad as Menace, and better than Clones, it wasn't particularly memorable, or satisfying.<br /><br />I was 11 years old when I saw Star Wars. I still remember sitting in the theater. From the opening crawl to the final credits it was a movie experience I'll never forget. A timeless story of the bored farm-boy who just knows he was meant for more, saving the princess and the Galaxy from the evil menace while being mentored by the wise wizard, the rogue pirate and the various comic relief--all in a space-opera setting.<br /><br />And that's not to chastise Lucas for using an old formula. It's an old formula precisely because it works. And to his credit, he gave it new twists that made it very special.<br /><br />Then came Empire and the story became more than just a fairy tale. Darkness entered the picture and we learned one of the great movie twists of all time. The great villain, Vader was Luke's father. Wow, no one saw that coming. Of course, I'm convinced neither did Lucas till it showed up in the screenplay. Go back and watch Star Wars again. Knowing what you know now, particularly in light of the first three episodes, see if it really meshes.<br /><br />Which brings me to the problem I have. Revenge is an entertaining movie--tremendous effects, plenty of action, some good fighting scenes. But a movie still lives or dies on its plot--the story it is telling. Oh, certainly, really good acting can save a weak plot, but a weak plot coupled with bad acting--that's a burden no director can overcome, certainly not one as bad as I'm forced to realize George Lucas is (The man has managed to direct some of the worst performances in their careers from some very fine actors--Liam Neeson, Natalie Portman, Samuel Jackson).<br /><br />*****SPOILERS AHEAD******** The plot. Oh my. Understand, he's already handicapped by what's happened in the first two films so it's an incredible burden. One too much for him to overcome.<br /><br />First we have the sheer absurdities of the background. We have Anakin being found as a child on Tatooine, the product of a virginal, miracle birth--the "chosen one". Well, this detail never gets remotely explained. Indeed, the closest explanation is Yoda's observation that maybe they were wrong. Oh, well, okay then. Our mistake.<br /><br />Now, this same wunderkind turns out to be the creator of C3PO. Hey, what a coincidence that is. And he'll come back to Tatooine and never know he was from there? Wow! How about that. Testing the old willing suspension of disbelief there, eh George? Anyway, we have this bratty kid, moody, petulant, whining young adult, who must somehow become one of the greatest villains in Cinematic history--the great tragedy of Darth Vador--the good guy who falls from grace, only to finally achieve redemption in the end.<br /><br />How, pray tell, does this happen? Why, he has a dream that his wife will die in childbirth. Now, sure, he lives in a star-spanning civilization that treats gravity like we treat gasoline, but does it occur to the "dark one to be" to maybe check with a physician cause maybe, just maybe, this futuristic society might can do something about this problem? Why, no, the only thing he can think to do is go kill some children because the bad guy at the root of all the evil they've been chasing for two films tells him that he's got the secret to immortality.<br /><br />Well, of course he does.<br /><br />Sheesh.<br /><br />How can Lucas expect us to watch such foolishness and be moved by it? How can anyone expect us to care? Hell, why would anyone want this brat to be saved or redeemed in the first place. I wanted Kenobi to kill him not because he was evil, but because he was pathetically stupid.<br /><br />Oh, by the way, Amidala finally dies. In childbirth. Why? Well, they don't know. The doctor, who is a droid and himself indicative of the incredibly high technology to which this society has advanced, offers only the conclusion of "she's lost the will to live". Well, oh, okay, of course she has. Maybe it finally dawned on her what a dweeb she was sleeping with.<br /><br />But here we are. We have Kenobi present for all this. He knows of the birth of Luke and Leia. Knows who their father is and knows what happens to them. Knows, also, the role of both R2 and C3PO. And yet, in several years, as Luke approaches manhood and shows up with 3PO and R2 (curiously, 3PO's mind is wiped, but not R2's--why????) stating "I think these droids belong to you", Kenobi, who knows that the protocol droid was constructed by the one he believed to be "the chosen one" and apprentice to the Emperor himself, and who just happened to be built on this very planet, says "strange, I don't recall owning any droids".<br /><br />Oh good grief.<br /><br />Lucas simply made this up as he went along. Once he introduced VAder as Luke's father, sadly, the story began spinning out of control because HE DIDN'T KNOW WHAT THE STORY WAS. The plot of Episodes 1-3 is simply incomprehensible. Nothing Palpatine did made any rational sense at all. And none of this ties into the story he originally told in Star Wars.<br /><br />It's an afterthought, and it looks it.<br /><br />I can't give this movie a high rating. It reminds me of Triple X. A fun film to watch, but entirely forgettable. Star Wars will stand in my mind forever. Thankfully, this one, and the two preceding it, will soon fade.|0
This effort was like a glitzy TV movie...I don't recall this ever being released in theaters...If so, it must've died a quick death. Watching the DVD, in the comfort of our bedroom, it was obvious this film was meant for not much more...Ed Lauter an art critic with a greed streak? What a fun turn that must've been...I haven't seen Ed since "The Longest Yard"...Everyone else pretty much acted by the numbers, led by Baldwin, except for Pompeo...She had zero charisma and seemed to be sleepwalking thru most of the picture...Pompeo's daughter had one dimension...she played every scene like a lovable little puppy...slowest line delivery of any 3 year old I've seen yet...<br /><br />The chase scenes gave my wife and I headaches...too much quick-cutting and angle-bashing...If you 're going to shoot a chase scene in Barcelona, you might want a few WIDE shots to exploit the beauty of your backdrop, right? The whole story was pretty implausible and far-fetched, but hey, we liked it better than "The Life Aquatic..."|0
This low-grade Universal chiller has just been announced as an upcoming DVD release but, intended as part of a collection of similar movies that I already had in my possession, I decided to acquire it from other channels rather than wait for that legitimate release. Which is just as well, since the end result was not anything particularly special (if decently atmospheric at that): for starters, the plot is pretty weak  even though in a way it anticipates the Vincent Price vehicle THEATRE OF BLOOD (1973)albeit without any of that film's campy gusto. What we have here, in fact, is a penniless sculptor (Martin Kosleck)  whom we even see sharing his measly plate of cheese with his pet cat!  who, upon finding himself on the receiving end of art critic Alan Napier's vitriolic pen one time too many, decides to end it all by hurling himself into the nearby river. However, while contemplating just that action, he is anticipated by Rondo Hatton's escaped killer dubbed "The Creeper" and, naturally enough, saves the poor guy's life with the intention of having the latter do all the dirty work for him in gratitude! Although it is supposedly set in the art circles of New York, all we really see at work is Kosleck and commercial painter Robert Lowery (who keeps painting the same statuesque blonde girl Joan Shawlee over and over in banal poses  how is that for art?) who, conveniently enough, is engaged to a rival art critic (Virginia Grey) of Napier's! Before long, the latter is discovered with his spine broken and Lowery is suspected; but then investigating detective Bill Goodwin gets the bright idea of engaging another critic to publish a scathing review of Lowery's work (I did not know that publicity sketches got reviewed!!) so as to gauge how violent his reaction is going to be! In the meantime, Kosleck deludes himself into thinking that he is creating his masterpiece by sculpting Hatton's uniquely craggy  and recognizable  visage which, needless to say, attracts the attention of the constantly visiting Grey (we are led to believe that she lacks material for her weekly column)much to the chagrin of both artist and model. Bafflingly, although The Creeper is fully aware of how Grey looks (thanks to her aforementioned haunting of Kosleck's flea-bitten pad), he bumps off Shawlee  who had by then become Goodwin's girl!  in Lowery's apartment and, overhearing Kosleck talking to (you guessed it) Grey about his intention to dump him as the fall guy for the police, sends the slow-witted giant off his deep endeven down to destroying his own now-completed stony image. Curiously enough, although this was Hatton's penultimate film, his name in the credits is preceded by the epithet "introducing"!|0
This centers on unironic notions of coming to grips with guilt. <br /><br />Merrill berates the distraught boy to stop his 'whining' about Rennie's death. Old-style real men in action, here.<br /><br />The crashing model plane and car crash must have been impressive on the big screen.<br /><br />The storytelling itself, despite the flashback sequences, plays it straight -- all the narrators are trusted by us (regardless of the 'truth' or 'untruth' of the dialogue), so there's no game with the viewer about narrative structure. This would become a rough template for future retellings, such as "Fearless".<br /><br />So all we're left with is individual performance, and at that level, it's best for Wynn's bantering, a virtual one-man show.|0
There can be no questions of spoilers for this movie, the director beat us all too and spoiled this movie in oh so many ways.<br /><br />A blatant rip-off of stuff like Critters and Gremlins, this movie fails on so many levels to recapture the humour and horror of those better made films. It ends up a sleazy waste of time, where bad actors deliver bad dialogue in front of an idiot director, who occasionally tosses stuffed toys at them. They wrestle with said toys in much the same manner as old Tarzan films used to use rubber crocodiles, shaking them whilst screaming and trying their best to make it look slightly threatening. It's painful to watch, and not helped by the mental 80's fashions worn by the cast.<br /><br />Basically, some crazy little aliens who have been trapped by an aging security guard in a film lot finally get free after umpteen years confinement, and begin to telepathically screw around with peoples minds. The guards new recruit, the idiot who let them out despite repeated warnings, gets his gang of 80's friends together and they go off and have minor adventures together while trying to recapture the Grem... Hobgoblins.<br /><br />All life is here, with the gang consisting of a knucklehead jock, his 80's slut girlfriend, the 'hero's frigid and prissy girlfriend, and the young hero, lacking in confidence and wishing his girlfriend would put out anyway.<br /><br />First off comes the infamous rake fighting scene, where the ex-military jock shows how he was trained in the army to be a bully, poking the nerdy hero with the wrong end of a rake for what seems like hours. Then there's some running around, terminating in a real pie-fight style ending in a scuzzy nightclub with comedy hand-grenades blowing up everything except the people standing right next to them. Then the film sorta ends, and alls well that ends well.<br /><br />It's not. This is like watching a train wreck, you cant take your eyes off it, it's so bad. Perfect fare for Mystery Science Theater, but god-awful should you try to watch it alone and uncut. The Fashion Police still have a number of outstanding warrants for the cast, and I dare anyone not to laugh in outright derision at the rake fight. This scores 2 out of 10 at most, on a good day.|0
This was not the worst movie I've ever seen, but that's about as much as can be said about it. It starts off with some good atmosphere; the hospital is suitably sterile and alienating, the mood is set to "eerie". And then...nothing. Well, somethings. Just somethings that clearly don't fit in...and no effort is made to clarify the connection between the bizarre and yet not particularly intimidating critters, and the hospital they've taken over. I mean, come on, biker duds? Some band watched a bit too much Gwar.<br /><br />My personal favorite was the head demon, who looks rather a lot like a middle-aged trucker desperately attempting menace, while simultaneously looking like he'd really like prefer to sag down on an afghan-covered couch, undo his belt, pop a can of cheap beer (probably Schlitz), and watch the game. Honestly, I've seen far scarier truckers. At truckstops. Drinking coffee. WWWwoooooohHHHHHoooooooo!!!! Scary!!<br /><br />The other monsters are even more cartoonish, and even less scary. At least, on the DVD, the videos give some explanation of their presence in the hospital...they apparently just randomly pop up in places, play some bippy "metal", and cause people to be dead a bit. Barring a few good special effects, and acting that is not entirely terrible given a lack of decent writing, there's just nothing here. It's a background-noise movie only.|0
Is this a stupid movie? You bet!! I could not find any moment in this film that was creepy or scary. Stupid moments? Plenty. Stupid characters? You bet. Bad effects? Everywhere! Rick Baker may have gone and done bigger and better things, this is not one of them. Oh well people gotta start somewhere. Dr. Ted Nelson is cheesed. He is the most whiny doctor I've ever seen. He's got a melting man running amok out in Ventura County somewhere, he's not overly happy that his wife is pregnant (probably cause she's 55 years old and weighs 90 lbs) and there's no crackers to be found anywhere. Plus he's got the not-too-helpful general on his hinder wanting to find astronaut Steve. And the local sheriff wants to know what's going on even though Mr. Nelson can't tell him anything. There also some random characters thrown in for good measure who encounter the melting man. Eventually the movie ends and out monster gets scooped into a trash can to become compost. In the end it's just what you need for a great MST episode.|0
I see what the director was trying to do but he missed the mark. The main actor was really good but the editing around his moments takes you out of it. The camera work, ie lighting and exposer is kind of amateur which I could forgive if the direction was more fluent but it wasn't. The sound was a bit off and that takes you out of the film as well. I see could see this director doing a little bit better in the future so not a total right off but don't expect a dv movie nearly as good as 28 days later or anything, keep your expectations low and you'll get more out of it. At least it was only an hour and a half. Oh yeah and other than the lead the acting was pretty bad if you ask me. But I'm a movie snob so take that for what that's worth.|0
Oh god, what a horrible, horrible film. Meant to be a comment on the state of society, it's just a reflection of the worst of the worst in reality TV. Interstitials hosted by Jason Jones and Don McKellar are the most obnoxious part, written in a tone that is perhaps meant to be reflexive and insightful. Rather, these moments are mind numbing as they speak to the camera with dialogue written by someone with a love for insulting, condescending speech that shoves the "meaning" of the film down the viewer's throat.<br /><br />Also, a point to would-be filmmakers: Long takes and quiet scenes do not equal art. Neither do extreme angles or logic stretched to the point of absurdity.<br /><br />If anyone out there is interested in watching this film, please don't. Seriously. Please. You have better things to do.|0
Terrible film made on a budget of about $9.99. Very obvious miniature sets used, poor acting and an awful storyline concerning aliens who use discarded meat from a butcher shop as fuel for their spaceship. The film contains some blood (not enough to disturb) and a character with an eggbeater replacing one of his hands. (Yes you read that correctly.)<br /><br />One saving grace was a song performed at the "talent show" (how's that for irony?) by a punk/new wave band that I think was called "I'm A Heat Seeking Missile". Other than that, this is not worth your time, not even on a "so bad it's good" level. Watch if you are into cheesy alien films, but anyone else should steer clear. <br /><br />Rating: 1 out of 10|0
